timestamp,ticker,order_size,avg_price,slippage,side
2025-04-03 15:14:00+00:00,SOUN,100,8.15,0.005,buy
2025-04-03 15:14:00+00:00,SOUN,200,8.15,0.005,buy
2025-04-03 15:14:00+00:00,SOUN,500,8.15,0.005,buy
2025-04-03 15:14:00+00:00,SOUN,1000,8.15,0.005,buy
2025-04-03 15:14:00+00:00,SOUN,2000,8.155,0.01,buy
2025-04-03 15:14:00+00:00,SOUN,5000,8.1586,0.013572,buy
2025-04-03 15:15:00+00:00,SOUN,10,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,50,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,100,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,200,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,500,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,1000,8.15,0.005,sell
2025-04-03 15:15:00+00:00,SOUN,2000,8.1455,0.0095,sell
2025-04-03 15:15:00+00:00,SOUN,5000,8.1422,0.0128,sell
2025-04-03 15:15:00+00:00,SOUN,10,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,50,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,100,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,200,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,500,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,1000,8.16,0.005,buy
2025-04-03 15:15:00+00:00,SOUN,2000,8.1607,0.005735,buy
2025-04-03 15:15:00+00:00,SOUN,5000,8.1663,0.011294,buy
2025-04-03 15:16:00+00:00,SOUN,10,8.17,0.005,sell
2025-04-03 15:16:00+00:00,SOUN,50,8.17,0.005,sell
2025-04-03 15:16:00+00:00,SOUN,100,8.17,0.005,sell
2025-04-03 15:16:00+00:00,SOUN,200,8.168,0.00695,sell
2025-04-03 15:16:00+00:00,SOUN,500,8.1632,0.01178,sell
2025-04-03 15:16:00+00:00,SOUN,1000,8.1616,0.01339,sell
2025-04-03 15:16:00+00:00,SOUN,2000,8.1608,0.014195,sell
2025-04-03 15:16:00+00:00,SOUN,5000,8.1603,0.014678,sell
2025-04-03 15:16:00+00:00,SOUN,10,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,50,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,100,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,200,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,500,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,1000,8.18,0.005,buy
2025-04-03 15:16:00+00:00,SOUN,2000,8.1829,0.00788,buy
2025-04-03 15:16:00+00:00,SOUN,5000,8.1872,0.012152,buy
2025-04-03 15:17:00+00:00,SOUN,10,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,50,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,100,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,200,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,500,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,1000,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,2000,8.19,0.005,sell
2025-04-03 15:17:00+00:00,SOUN,5000,8.185,0.01,sell
2025-04-03 15:17:00+00:00,SOUN,10,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,50,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,100,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,200,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,500,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,1000,8.2,0.005,buy
2025-04-03 15:17:00+00:00,SOUN,2000,8.2031,0.008095,buy
2025-04-03 15:17:00+00:00,SOUN,5000,8.2072,0.012238,buy
2025-04-03 15:18:00+00:00,SOUN,10,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,50,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,100,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,200,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,500,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,1000,8.24,0.005,sell
2025-04-03 15:18:00+00:00,SOUN,2000,8.2364,0.008635,sell
2025-04-03 15:18:00+00:00,SOUN,5000,8.2325,0.012454,sell
2025-04-03 15:18:00+00:00,SOUN,10,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,50,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,100,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,200,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,500,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,1000,8.25,0.005,buy
2025-04-03 15:18:00+00:00,SOUN,2000,8.251,0.005985,buy
2025-04-03 15:18:00+00:00,SOUN,5000,8.2564,0.011394,buy
2025-04-03 15:19:00+00:00,SOUN,10,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,50,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,100,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,200,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,500,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,1000,8.27,0.005,sell
2025-04-03 15:19:00+00:00,SOUN,2000,8.266,0.00899,sell
2025-04-03 15:19:00+00:00,SOUN,5000,8.2624,0.012596,sell
2025-04-03 15:19:00+00:00,SOUN,10,8.28,0.005,buy
2025-04-03 15:19:00+00:00,SOUN,50,8.28,0.005,buy
2025-04-03 15:19:00+00:00,SOUN,100,8.28,0.005,buy
2025-04-03 15:19:00+00:00,SOUN,200,8.28,0.005,buy
2025-04-03 15:19:00+00:00,SOUN,500,8.28,0.005,buy
2025-04-03 15:19:00+00:00,SOUN,1000,8.282,0.00699,buy
2025-04-03 15:19:00+00:00,SOUN,2000,8.286,0.010995,buy
2025-04-03 15:19:00+00:00,SOUN,5000,8.2884,0.013398,buy
2025-04-03 15:20:00+00:00,SOUN,10,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,50,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,100,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,200,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,500,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,1000,8.26,0.005,sell
2025-04-03 15:20:00+00:00,SOUN,2000,8.2571,0.0079,sell
2025-04-03 15:20:00+00:00,SOUN,5000,8.2528,0.01216,sell
2025-04-03 15:20:00+00:00,SOUN,10,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,50,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,100,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,200,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,500,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,1000,8.27,0.005,buy
2025-04-03 15:20:00+00:00,SOUN,2000,8.2727,0.0077,buy
2025-04-03 15:20:00+00:00,SOUN,5000,8.2774,0.012358,buy
2025-04-03 15:21:00+00:00,SOUN,10,8.21,0.005,sell
2025-04-03 15:21:00+00:00,SOUN,50,8.21,0.005,sell
2025-04-03 15:21:00+00:00,SOUN,100,8.21,0.005,sell
2025-04-03 15:21:00+00:00,SOUN,200,8.21,0.005,sell
2025-04-03 15:21:00+00:00,SOUN,500,8.2045,0.01054,sell
2025-04-03 15:21:00+00:00,SOUN,1000,8.2022,0.01277,sell
2025-04-03 15:21:00+00:00,SOUN,2000,8.2011,0.013885,sell
2025-04-03 15:21:00+00:00,SOUN,5000,8.2004,0.014554,sell
2025-04-03 15:21:00+00:00,SOUN,10,8.22,0.005,buy
2025-04-03 15:21:00+00:00,SOUN,50,8.22,0.005,buy
2025-04-03 15:21:00+00:00,SOUN,100,8.22,0.005,buy
